                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.79634,                 1.2758,                0.86114,                 1.0082,                 0.6864,                0.76231,                0.78847,                0.58103,                0.63419,                0.68571,                0.69723,                0.37136,                0.91525,                 1.3358,                0.95378,                 1.1438,             0.00092435,             0.00092435,             0.00092435
                     48,                0.80543,                 1.3816,                0.86486,                 1.0187,                0.82805,                0.76231,                0.85243,                0.63064,                0.74716,                0.69451,                0.74098,                0.38927,                0.85555,                 1.2797,                  0.896,                 1.1254,             0.00090785,             0.00090785,             0.00090785
                     49,                0.78504,                 1.3216,                0.83269,                 0.9982,                0.84793,                   0.73,                0.83838,                0.63955,                0.78972,                0.67954,                 0.7469,                0.39822,                0.85617,                 1.2906,                0.91208,                 1.0923,             0.00089134,             0.00089134,             0.00089134
                     50,                0.80117,                 1.2594,                0.81619,                 1.0069,                0.72528,                   0.79,                0.82568,                 0.6093,                0.75373,                0.67693,                  0.726,                0.39755,                0.93847,                  1.261,                0.92112,                 1.1489,             0.00087484,             0.00087484,             0.00087484
                     51,                0.76793,                  1.208,                0.78459,                 1.0228,                0.65212,                0.80669,                 0.7903,                0.57318,                0.58977,                   0.75,                0.69423,                0.36913,                0.95861,                 1.2516,                0.99101,                 1.1768,             0.00085834,             0.00085834,             0.00085834
                     52,                0.79652,                 1.3252,                0.87627,                 1.0284,                0.73587,                0.70904,                0.78092,                 0.5682,                0.65171,                0.69564,                0.70669,                0.39171,                0.94611,                 1.3161,                0.90876,                  1.179,             0.00084184,             0.00084184,             0.00084184
                     53,                0.76188,                 1.3699,                0.83615,                  1.001,                0.74602,                0.64426,                0.76365,                0.59109,                0.70872,                 0.6131,                0.69288,                0.39712,                0.84311,                 1.3202,                 1.0174,                 1.1137,             0.00082533,             0.00082533,             0.00082533
                     54,                0.75877,                 1.2956,                 0.8316,                0.99202,                0.62615,                   0.76,                0.74564,                0.58008,                 0.6066,                   0.71,                0.68997,                0.38192,                0.85588,                 1.3166,                0.95886,                  1.104,             0.00080883,             0.00080883,             0.00080883
                     55,                0.73679,                 1.2521,                0.80867,                0.97251,                0.71661,                0.79048,                0.80839,                0.61234,                0.63359,                   0.74,                0.70879,                0.37842,                0.85248,                 1.3448,                0.89883,                 1.0994,             0.00079233,             0.00079233,             0.00079233
                     56,                0.75429,                 1.2421,                 0.7981,                 1.0057,                 0.7762,                0.78495,                0.84751,                0.62109,                 0.7169,                0.71815,                0.73187,                0.37315,                0.86343,                 1.3776,                0.83128,                 1.1035,             0.00077582,             0.00077582,             0.00077582
                     57,                0.69022,                 1.1661,                0.74131,                0.95368,                0.66168,                0.87347,                0.83767,                0.62532,                0.65333,                   0.68,                0.70416,                0.36109,                0.83842,                 1.3703,                0.84179,                  1.084,             0.00075932,             0.00075932,             0.00075932
                     58,                0.71361,                 1.2022,                0.69932,                0.96691,                 0.7462,                    0.6,                0.74739,                0.57632,                0.70189,                   0.55,                0.64696,                0.34312,                0.85289,                 1.4538,                  1.031,                 1.1125,             0.00074282,             0.00074282,             0.00074282
                     59,                 0.7118,                 1.2391,                0.76525,                0.96804,                0.72179,                   0.73,                0.80415,                0.60551,                  0.673,                   0.68,                0.71065,                0.39944,                0.85086,                  1.317,                0.91806,                 1.0917,             0.00072631,             0.00072631,             0.00072631
                     60,                0.75645,                 1.2123,                0.73912,                0.98984,                0.71056,                   0.81,                 0.8519,                0.63076,                0.68301,                0.70485,                0.72247,                0.41674,                0.84901,                 1.2526,                0.79717,                 1.1206,             0.00070981,             0.00070981,             0.00070981
                     61,                0.68118,                 1.2404,                0.70643,                0.96719,                0.76298,                   0.76,                0.84727,                0.64196,                 0.7095,                0.71282,                0.75408,                0.43605,                0.83773,                 1.2574,                0.81183,                 1.1101,             0.00069331,             0.00069331,             0.00069331
                     62,                0.70291,                 1.1608,                0.70481,                0.97572,                0.81874,                    0.8,                0.85052,                0.65232,                0.76143,                   0.72,                0.75426,                0.43532,                0.82511,                 1.2915,                0.77846,                 1.0984,              0.0006768,              0.0006768,              0.0006768
                     63,                0.69466,                 1.1551,                0.68857,                0.96358,                0.76034,                   0.76,                0.83272,                0.63896,                0.67426,                0.69135,                0.70869,                0.40113,                 0.8401,                 1.3412,                0.88111,                 1.1171,              0.0006603,              0.0006603,              0.0006603
                     64,                0.69298,                 1.1631,                0.69165,                0.95275,                0.79068,                0.77599,                0.83195,                 0.6555,                0.71702,                0.68002,                0.73555,                0.41556,                0.82641,                 1.3568,                0.79023,                 1.0753,              0.0006438,              0.0006438,              0.0006438
                     65,                0.64249,                    1.1,                0.68231,                0.94329,                0.79352,                0.71532,                0.82605,                0.64787,                0.72819,                   0.66,                0.70171,                0.40466,                 0.7978,                 1.3844,                0.82843,                 1.0646,             0.00062729,             0.00062729,             0.00062729
                     66,                0.68726,                 1.1852,                 0.6845,                0.95417,                0.70014,                0.81648,                0.80496,                0.63086,                0.63869,                0.71759,                0.67139,                0.38709,                0.77442,                  1.356,                 0.8613,                 1.0421,             0.00061079,             0.00061079,             0.00061079
                     67,                0.68285,                 1.2116,                0.69006,                0.96719,                 0.7736,                0.69296,                0.79785,                0.62315,                  0.672,                    0.6,                0.66129,                 0.3891,                0.80001,                 1.3376,                0.85991,                 1.0594,             0.00059429,             0.00059429,             0.00059429
